rep,trial_number,attempt_id,status
148,1,r148t01a1,ok
148,2,r148t02a1,ok
148,3,r148t03a1,ok
148,4,r148t04a1,ok
148,5,r148t05a1,ok
148,6,r148t06a1,ok
148,7,r148t07a1,ok
148,8,r148t08a1,ok
148,9,r148t09a1,ok
148,10,r148t10a1,ok
148,11,r148t11a1,ok
148,12,r148t12a1,ok
148,13,r148t13a1,ok
148,14,r148t14a1,ok
148,15,r148t15a1,ok
148,16,r148t16a1,ok
148,17,r148t17a1,ok
148,18,r148t18a1,ok
148,19,r148t19a1,ok
148,20,r148t20a1,ok
148,21,r148t21a1,ok
148,22,r148t22a1,ok
148,23,r148t23a1,ok
148,24,r148t24a1,ok
148,25,r148t25a1,ok
148,26,r148t26a1,ok
148,27,r148t27a1,ok
148,28,r148t28a1,ok
148,29,r148t29a1,ok
148,30,r148t30a1,ok
148,31,r148t31a1,ok
148,32,r148t32a1,ok
148,33,r148t33a1,ok
148,34,r148t34a1,ok
148,35,r148t35a1,ok
148,36,r148t36a1,ok
