trial_number,block,trial_in_block,rule_shift,hidden_rule,previous_hidden_rule,lure_rule,old_rule_lure
1,1,1,0,color,color,,0
2,1,2,0,color,color,,0
3,1,3,0,color,color,,0
4,1,4,0,color,color,,0
5,1,5,0,color,color,,0
6,2,1,1,shape,color,,0
7,2,2,0,shape,color,,0
8,2,3,0,shape,color,,0
9,2,4,0,shape,color,,0
10,2,5,0,shape,color,,0
11,3,1,1,color,shape,,0
12,3,2,0,color,shape,,0
13,3,3,0,color,shape,,0
14,3,4,0,color,shape,,0
15,3,5,0,color,shape,,0
16,4,1,1,shape,color,,0
17,4,2,0,shape,color,,0
18,4,3,0,shape,color,,0
19,4,4,0,shape,color,,0
20,4,5,0,shape,color,,0
21,5,1,1,color,shape,,0
22,5,2,0,color,shape,,0
23,5,3,0,color,shape,,0
24,5,4,0,color,shape,,0
25,5,5,0,color,shape,,0
26,5,6,0,color,shape,,0
27,5,7,0,color,shape,,0
28,6,1,1,shape,color,,0
29,6,2,0,shape,color,,0
30,6,3,0,shape,color,,0
31,6,4,0,shape,color,,0
32,6,5,0,shape,color,,0
33,7,1,1,color,shape,,0
34,7,2,0,color,shape,,0
35,7,3,0,color,shape,,0
36,7,4,0,color,shape,,0
