trial_number,block,trial_in_block,rule_shift,hidden_rule,previous_hidden_rule,lure_rule,old_rule_lure
1,1,1,0,color,color,,0
2,1,2,0,color,color,,0
3,1,3,0,color,color,,0
4,1,4,0,color,color,,0
5,1,5,0,color,color,,0
6,1,6,0,color,color,,0
7,1,7,0,color,color,,0
8,2,1,1,shape,color,,0
9,2,2,0,shape,color,,0
10,2,3,0,shape,color,,0
11,2,4,0,shape,color,,0
12,2,5,0,shape,color,,0
13,2,6,0,shape,color,,0
14,2,7,0,shape,color,,0
15,3,1,1,color,shape,,0
16,3,2,0,color,shape,,0
17,3,3,0,color,shape,,0
18,3,4,0,color,shape,,0
19,3,5,0,color,shape,,0
20,3,6,0,color,shape,,0
21,3,7,0,color,shape,,0
22,4,1,1,shape,color,,0
23,4,2,0,shape,color,,0
24,4,3,0,shape,color,,0
25,4,4,0,shape,color,,0
26,4,5,0,shape,color,,0
27,4,6,0,shape,color,,0
28,4,7,0,shape,color,,0
29,5,1,1,color,shape,,0
30,5,2,0,color,shape,,0
31,5,3,0,color,shape,,0
32,5,4,0,color,shape,,0
33,5,5,0,color,shape,,0
34,5,6,0,color,shape,,0
35,5,7,0,color,shape,,0
36,5,8,0,color,shape,,0
