trial_number,block,trial_in_block,rule_shift,hidden_rule,previous_hidden_rule,lure_rule,old_rule_lure
1,1,1,0,shape,shape,,0
2,1,2,0,shape,shape,,0
3,1,3,0,shape,shape,,0
4,1,4,0,shape,shape,,0
5,1,5,0,shape,shape,,0
6,2,1,1,number,shape,,0
7,2,2,0,number,shape,,0
8,2,3,0,number,shape,,0
9,2,4,0,number,shape,,0
10,2,5,0,number,shape,,0
11,2,6,0,number,shape,,0
12,2,7,0,number,shape,,0
13,3,1,1,color,number,,0
14,3,2,0,color,number,,0
15,3,3,0,color,number,,0
16,3,4,0,color,number,,0
17,3,5,0,color,number,,0
18,3,6,0,color,number,,0
19,4,1,1,shape,color,,0
20,4,2,0,shape,color,,0
21,4,3,0,shape,color,,0
22,4,4,0,shape,color,,0
23,4,5,0,shape,color,,0
24,5,1,1,number,shape,,0
25,5,2,0,number,shape,,0
26,5,3,0,number,shape,,0
27,5,4,0,number,shape,,0
28,5,5,0,number,shape,,0
29,6,1,1,shape,number,,0
30,6,2,0,shape,number,,0
31,6,3,0,shape,number,,0
32,6,4,0,shape,number,,0
33,6,5,0,shape,number,,0
34,6,6,0,shape,number,,0
35,6,7,0,shape,number,,0
36,6,8,0,shape,number,,0
